ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
4779,"If it is damaged, store the clean.",Hospitality,Intermediate,"['workstation', 'shift', 'clean']",Conditional Sentences,Moderate,Speaking,Store the clean.,What happens if the it is damaged?,Store the clean.,"['Use a different clean.', 'Do nothing with the clean.']"
4780,the supervisor said to inspect the patient.,Healthcare,Beginner,"['nurse', 'temperature', 'patient']",Reported Speech,Easy,Reading,Inspect the patient.,What did the supervisor say?,Inspect the patient.,"['Use a different patient.', 'Do nothing with the patient.']"
4781,inspection must be clean.,Automotive,Intermediate,"['brakes', 'inspection', 'oil']",Passive Voice,Moderate,Listening,Clean the inspection.,What must be done with the inspection?,Clean the inspection.,"['Ignore the inspection.', 'Use a different inspection.']"
4782,the supervisor said to clean the inspection.,Automotive,Beginner,"['oil', 'inspection', 'engine']",Reported Speech,Easy,Listening,Clean the inspection.,What did the supervisor say?,Clean the inspection.,"['Do nothing with the inspection.', 'Ignore the inspection.']"
4783,You should check the yield.,Agriculture,Beginner,"['yield', 'harvest', 'irrigation']",Modal Verbs,Easy,Reading,Check the yield.,What is recommended to do with the yield?,Check the yield.,"['Ignore the yield.', 'Use a different yield.']"
4784,Please store the product.,Retail,Intermediate,"['customer', 'inventory', 'product']",Imperative Sentences,Moderate,Writing,Store the product.,What should you do with the product?,Store the product.,"['Ignore the product.', 'Do nothing with the product.']"
4785,the supervisor said to check the tools.,Construction,Intermediate,"['tools', 'secured', 'harness']",Reported Speech,Moderate,Speaking,Check the tools.,What did the supervisor say?,Check the tools.,"['Do nothing with the tools.', 'Use a different tools.']"
4786,Please inspect the service.,Hospitality,Beginner,"['workstation', 'hygiene', 'service']",Imperative Sentences,Easy,Speaking,Inspect the service.,What should you do with the service?,Inspect the service.,"['Use a different service.', 'Do nothing with the service.']"
4787,soil must be secure.,Agriculture,Intermediate,"['soil', 'irrigation', 'yield']",Passive Voice,Moderate,Reading,Secure the soil.,What must be done with the soil?,Secure the soil.,"['Ignore the soil.', 'Use a different soil.']"
4788,network must be store.,IT,Beginner,"['network', 'system', 'reboot']",Passive Voice,Easy,Listening,Store the network.,What must be done with the network?,Store the network.,"['Do nothing with the network.', 'Ignore the network.']"
4789,shift must be clean.,Hospitality,Advanced,"['hygiene', 'shift', 'clean']",Passive Voice,Difficult,Speaking,Clean the shift.,What must be done with the shift?,Clean the shift.,"['Ignore the shift.', 'Do nothing with the shift.']"
4790,clean must be inspect.,Hospitality,Beginner,"['service', 'clean', 'shift']",Passive Voice,Easy,Speaking,Inspect the clean.,What must be done with the clean?,Inspect the clean.,"['Use a different clean.', 'Ignore the clean.']"
4791,You should inspect the tools.,Construction,Advanced,"['secured', 'tools', 'harness']",Modal Verbs,Difficult,Speaking,Inspect the tools.,What is recommended to do with the tools?,Inspect the tools.,"['Ignore the tools.', 'Use a different tools.']"
4792,hygiene must be store.,Hospitality,Beginner,"['hygiene', 'workstation', 'clean']",Passive Voice,Easy,Speaking,Store the hygiene.,What must be done with the hygiene?,Store the hygiene.,"['Use a different hygiene.', 'Ignore the hygiene.']"
4793,"If it is damaged, secure the hardware.",IT,Advanced,"['software', 'hardware', 'reboot']",Conditional Sentences,Difficult,Listening,Secure the hardware.,What happens if the it is damaged?,Secure the hardware.,"['Ignore the hardware.', 'Do nothing with the hardware.']"
4794,"If it is damaged, secure the checkout.",Retail,Beginner,"['sales', 'product', 'checkout']",Conditional Sentences,Easy,Writing,Secure the checkout.,What happens if the it is damaged?,Secure the checkout.,"['Ignore the checkout.', 'Do nothing with the checkout.']"
4795,hardware must be check.,IT,Advanced,"['reboot', 'hardware', 'network']",Passive Voice,Difficult,Listening,Check the hardware.,What must be done with the hardware?,Check the hardware.,"['Do nothing with the hardware.', 'Ignore the hardware.']"
4796,You should check the medication.,Healthcare,Advanced,"['stored', 'medication', 'temperature']",Modal Verbs,Difficult,Reading,Check the medication.,What is recommended to do with the medication?,Check the medication.,"['Ignore the medication.', 'Use a different medication.']"
4797,"If it is damaged, clean the reboot.",IT,Beginner,"['hardware', 'system', 'reboot']",Conditional Sentences,Easy,Reading,Clean the reboot.,What happens if the it is damaged?,Clean the reboot.,"['Ignore the reboot.', 'Do nothing with the reboot.']"
4798,the supervisor said to clean the oil.,Automotive,Intermediate,"['brakes', 'inspection', 'oil']",Reported Speech,Moderate,Listening,Clean the oil.,What did the supervisor say?,Clean the oil.,"['Do nothing with the oil.', 'Ignore the oil.']"
4799,Please inspect the network.,IT,Beginner,"['system', 'software', 'network']",Imperative Sentences,Easy,Reading,Inspect the network.,What should you do with the network?,Inspect the network.,"['Use a different network.', 'Do nothing with the network.']"
4800,service must be check.,Hospitality,Beginner,"['hygiene', 'service', 'clean']",Passive Voice,Easy,Writing,Check the service.,What must be done with the service?,Check the service.,"['Use a different service.', 'Do nothing with the service.']"
4801,product must be store.,Retail,Advanced,"['checkout', 'customer', 'product']",Passive Voice,Difficult,Speaking,Store the product.,What must be done with the product?,Store the product.,"['Ignore the product.', 'Use a different product.']"
4802,the supervisor said to store the software.,IT,Advanced,"['software', 'system', 'hardware']",Reported Speech,Difficult,Reading,Store the software.,What did the supervisor say?,Store the software.,"['Do nothing with the software.', 'Use a different software.']"
4803,the supervisor said to clean the workstation.,Hospitality,Advanced,"['workstation', 'service', 'clean']",Reported Speech,Difficult,Speaking,Clean the workstation.,What did the supervisor say?,Clean the workstation.,"['Do nothing with the workstation.', 'Use a different workstation.']"
4804,You should store the equipment.,Construction,Advanced,"['tools', 'safety', 'equipment']",Modal Verbs,Difficult,Reading,Store the equipment.,What is recommended to do with the equipment?,Store the equipment.,"['Do nothing with the equipment.', 'Ignore the equipment.']"
4805,You should clean the temperature.,Healthcare,Beginner,"['stored', 'medication', 'temperature']",Modal Verbs,Easy,Reading,Clean the temperature.,What is recommended to do with the temperature?,Clean the temperature.,"['Use a different temperature.', 'Ignore the temperature.']"
4806,"If it is damaged, store the service.",Hospitality,Intermediate,"['shift', 'workstation', 'service']",Conditional Sentences,Moderate,Speaking,Store the service.,What happens if the it is damaged?,Store the service.,"['Ignore the service.', 'Do nothing with the service.']"
4807,the supervisor said to store the inventory.,Retail,Intermediate,"['customer', 'inventory', 'checkout']",Reported Speech,Moderate,Writing,Store the inventory.,What did the supervisor say?,Store the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
4808,clean must be clean.,Hospitality,Advanced,"['clean', 'shift', 'hygiene']",Passive Voice,Difficult,Writing,Clean the clean.,What must be done with the clean?,Clean the clean.,"['Use a different clean.', 'Ignore the clean.']"
4809,You should store the inspection.,Automotive,Beginner,"['inspection', 'engine', 'repair']",Modal Verbs,Easy,Listening,Store the inspection.,What is recommended to do with the inspection?,Store the inspection.,"['Ignore the inspection.', 'Do nothing with the inspection.']"
4810,Please secure the inventory.,Retail,Intermediate,"['inventory', 'sales', 'product']",Imperative Sentences,Moderate,Writing,Secure the inventory.,What should you do with the inventory?,Secure the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
4811,"If it is damaged, clean the service.",Hospitality,Intermediate,"['service', 'shift', 'hygiene']",Conditional Sentences,Moderate,Speaking,Clean the service.,What happens if the it is damaged?,Clean the service.,"['Use a different service.', 'Ignore the service.']"
4812,Please clean the crop.,Agriculture,Advanced,"['crop', 'soil', 'yield']",Imperative Sentences,Difficult,Reading,Clean the crop.,What should you do with the crop?,Clean the crop.,"['Do nothing with the crop.', 'Use a different crop.']"
4813,Please inspect the system.,IT,Beginner,"['system', 'software', 'network']",Imperative Sentences,Easy,Reading,Inspect the system.,What should you do with the system?,Inspect the system.,"['Do nothing with the system.', 'Ignore the system.']"
4814,You should clean the temperature.,Healthcare,Advanced,"['medication', 'stored', 'temperature']",Modal Verbs,Difficult,Listening,Clean the temperature.,What is recommended to do with the temperature?,Clean the temperature.,"['Do nothing with the temperature.', 'Ignore the temperature.']"
4815,Please inspect the soil.,Agriculture,Advanced,"['irrigation', 'crop', 'soil']",Imperative Sentences,Difficult,Writing,Inspect the soil.,What should you do with the soil?,Inspect the soil.,"['Ignore the soil.', 'Use a different soil.']"
4816,You should store the service.,Hospitality,Intermediate,"['service', 'shift', 'clean']",Modal Verbs,Moderate,Speaking,Store the service.,What is recommended to do with the service?,Store the service.,"['Use a different service.', 'Do nothing with the service.']"
4817,Please inspect the sales.,Retail,Beginner,"['inventory', 'product', 'sales']",Imperative Sentences,Easy,Speaking,Inspect the sales.,What should you do with the sales?,Inspect the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
4818,"If it is damaged, check the oil.",Automotive,Intermediate,"['brakes', 'repair', 'oil']",Conditional Sentences,Moderate,Listening,Check the oil.,What happens if the it is damaged?,Check the oil.,"['Do nothing with the oil.', 'Use a different oil.']"
4819,software must be clean.,IT,Beginner,"['software', 'hardware', 'system']",Passive Voice,Easy,Reading,Clean the software.,What must be done with the software?,Clean the software.,"['Use a different software.', 'Ignore the software.']"
4820,the supervisor said to inspect the secured.,Construction,Intermediate,"['secured', 'tools', 'safety']",Reported Speech,Moderate,Reading,Inspect the secured.,What did the supervisor say?,Inspect the secured.,"['Ignore the secured.', 'Use a different secured.']"
4821,You should clean the reboot.,IT,Intermediate,"['reboot', 'network', 'software']",Modal Verbs,Moderate,Listening,Clean the reboot.,What is recommended to do with the reboot?,Clean the reboot.,"['Ignore the reboot.', 'Do nothing with the reboot.']"
4822,Please clean the secured.,Construction,Advanced,"['secured', 'safety', 'equipment']",Imperative Sentences,Difficult,Reading,Clean the secured.,What should you do with the secured?,Clean the secured.,"['Use a different secured.', 'Ignore the secured.']"
4823,the supervisor said to inspect the patient.,Healthcare,Intermediate,"['temperature', 'patient', 'nurse']",Reported Speech,Moderate,Reading,Inspect the patient.,What did the supervisor say?,Inspect the patient.,"['Do nothing with the patient.', 'Ignore the patient.']"
4824,"If it is damaged, secure the repair.",Automotive,Advanced,"['repair', 'engine', 'inspection']",Conditional Sentences,Difficult,Listening,Secure the repair.,What happens if the it is damaged?,Secure the repair.,"['Ignore the repair.', 'Use a different repair.']"
4825,You should inspect the hardware.,IT,Advanced,"['hardware', 'software', 'reboot']",Modal Verbs,Difficult,Reading,Inspect the hardware.,What is recommended to do with the hardware?,Inspect the hardware.,"['Do nothing with the hardware.', 'Ignore the hardware.']"
